
TIBCO Enterprise Message Service.
Copyright 2003-2017 by TIBCO Software Inc.
All rights reserved.

Version 8.4.0 V14 7/20/2017

2019-02-22 15:28:18.946 Process started from '/opt/tibco/EMS840/ems/8.4/bin/tibemsd64'.
2019-02-22 15:28:18.946 Process Id: 28075
2019-02-22 15:28:18.946 Hostname: macbookhicham.home
2019-02-22 15:28:18.946 Hostname IP address: 192.168.1.11
2019-02-22 15:28:18.946 Hostname IP address: 192.168.1.11
2019-02-22 15:28:18.946 Reading configuration from 'tibemsd.conf'.
2019-02-22 15:28:18.955 Server name: 'E4EMS-SERVER'.
2019-02-22 15:28:18.955 Storage Location: '.'.
2019-02-22 15:28:18.955 Routing is disabled.
2019-02-22 15:28:18.955 Authorization is disabled.
2019-02-22 15:28:18.955 The server will attempt to trace warnings about destinations that are growing unbounded above 52428800 bytes or 50000 messages.
2019-02-22 15:28:18.955 Set server properties 'large_destination_memory' and 'large_destination_count' respectively to alter these thresholds.
2019-02-22 15:28:18.960 Accepting connections on tcp://macbookhicham.home:7222.
2019-02-22 15:28:18.960 Recovering state, please wait.
2019-02-22 15:28:18.975 Recovered 2 messages.
2019-02-22 15:28:18.975 Server is active.
2019-02-22 15:31:21.281 [admin@macbookhicham.home]: buffer_trace updated: '+CONFIG,+CONFIG_DETAIL'
2019-02-22 15:31:21.282 [admin@macbookhicham.home]: buffer_trace_size has been changed to 4194346
2019-02-22 15:31:21.285 [admin@macbookhicham.home]: buffer_trace_size has been changed to 0
2019-02-22 15:31:21.286 [admin@macbookhicham.home]: buffer_trace updated: '+CONFIG,+CONFIG_DETAIL,-CONFIG,-CONFIG_DETAIL'
2019-02-22 18:58:10.006 WARNING: Slow clock tick 118 seconds, delayed messaging and timeouts may occur. System appears overloaded.
2019-02-22 20:10:04.005 WARNING: Slow clock tick 4262 seconds, delayed messaging and timeouts may occur. System appears overloaded.
2019-02-22 21:16:13.006 WARNING: Slow clock tick 3918 seconds, delayed messaging and timeouts may occur. System appears overloaded.
2019-02-22 22:23:38.005 WARNING: Slow clock tick 3993 seconds, delayed messaging and timeouts may occur. System appears overloaded.
2019-02-22 23:34:47.006 WARNING: Slow clock tick 4217 seconds, delayed messaging and timeouts may occur. System appears overloaded.
2019-02-23 01:35:03.118 WARNING: Slow clock tick 7200 seconds, delayed messaging and timeouts may occur. System appears overloaded.
2019-02-23 03:35:16.140 WARNING: Slow clock tick 7202 seconds, delayed messaging and timeouts may occur. System appears overloaded.
2019-02-23 08:03:37.076 WARNING: Slow clock tick 16091 seconds, delayed messaging and timeouts may occur. System appears overloaded.
2019-02-23 08:30:03.131 WARNING: Slow clock tick 1548 seconds, delayed messaging and timeouts may occur. System appears overloaded.
2019-02-23 10:30:15.006 WARNING: Slow clock tick 7200 seconds, delayed messaging and timeouts may occur. System appears overloaded.
2019-02-23 11:35:48.005 WARNING: Slow clock tick 3922 seconds, delayed messaging and timeouts may occur. System appears overloaded.
2019-02-23 13:06:38.009 WARNING: Slow clock tick 5431 seconds, delayed messaging and timeouts may occur. System appears overloaded.
2019-02-23 13:36:20.013 WARNING: Slow clock tick 1528 seconds, delayed messaging and timeouts may occur. System appears overloaded.
